﻿﻿TradeDate;SecurityId;Symbol;ISIN;SecurityName;SecurityTypeId;SecurityType;IsStock;Market;CompanyId;Gics;Bid;Offer;Open;High;Low;Last;Generic;AdjBid;AdjOffer;AdjOpen;AdjHigh;AdjLow;AdjLast;AdjGeneric;Vwap;ReturnLast;ReturnGeneric;ReturnAdjLast;ReturnAdjGeneric;LogReturnLast;LogReturnGeneric;LogReturnAdjLast;LogReturnAdjGeneric;OffShareTurnover;OffTurnover;NonOffShareTurnover;NonOffTurnover;SharesIssued;DivFactor;CumDivFactor;LastQAccount;LastYAccount;
2019-09-30 00:00:00;6163;MORG;NO0006390004;Sparebanken M�re;26;Primary Capital Certificates;1;OSE;1652;;309.0000;311.0000;307.0000;312.0000;307.0000;309.0000;309.0000;309.0000;311.0000;307.0000;312.0000;307.0000;309.0000;309.0000;309.5124;;-0.0064308681672026;;-0.0064369685266118;;-0.0064516352814881;;-0.0064577751442743;43762;13657284;24340;7571040;9886954;;0.94909090909091;;;
2019-09-30 00:00:00;6169;NTS;NO0004895103;NTS;1;Ordinary Shares;1;OSE;2311;20303010;59.0000;60.5000;;;;;60.0000;59.0000;60.5000;;;;;60.0000;;;0.016949152542373;;0.01703079305006;;0.016807118316381;;0.016887394926687;37971;2244152.5;50000;3000000;72756446;;0.98529411764706;;;
2019-09-30 00:00:00;6177;KOG;NO0003043309;Kongsberg Gruppen;1;Ordinary Shares;1;OSE;2331;20101010;130.4000;130.5000;127.4000;130.5000;127.2000;130.5000;130.5000;130.4000;130.5000;127.4000;130.5000;127.2000;130.5000;130.5000;129.2115;;0.093880972338642;;0.093949334791325;;0.089731897658878;;0.089794391036433;1585388;196908515.2;702921;85403614.6004;179990065;;0.91990642263966;;;
2019-09-30 00:00:00;6180;NHY;NO0005052605;Norsk Hydro;1;Ordinary Shares;1;OSE;1114;15104010;32.0000;32.0200;32.7000;32.7600;31.9800;32.0000;32.0000;32.0000;32.0200;32.7000;32.7600;31.9800;32.0000;32.0000;32.1371;;0.10957004160888;;0.1094706517825;;0.10397259038298;;0.10388301128987;165267104;5355454914.13;3458470;111722097.615;2068998276;;0.96286393345217;;;
2019-09-30 00:00:00;6195;REACH;NO0003117202;Reach Subsea;1;Ordinary Shares;1;OSE;2319;20303010;1.7100;1.7300;1.7300;1.7300;1.7100;1.7100;1.7100;1.7100;1.7300;1.7300;1.7300;1.7100;1.7100;1.7100;1.7281;;-0.145;;-0.145;;-0.15665381004538;;-0.15665381004538;1140788;2035316.975;;;143546008;;1;;;
2019-09-30 00:00:00;6212;OLT;NO0005638858;Olav Thon Eiendomsselskap;1;Ordinary Shares;1;OSE;1308;40403020;144.4000;145.4000;145.4000;145.6000;144.4000;144.4000;144.4000;144.4000;145.4000;145.4000;145.6000;144.4000;144.4000;144.4000;145.3086;;0.014044943820225;;0.014044943820225;;0.013947227480851;;0.013947227480851;115924;16741561;466702;67295396.5;106445320;;1;;;
2019-09-30 00:00:00;6214;ORK;NO0003733800;Orkla;1;Ordinary Shares;1;OSE;1107;20105010;82.7600;82.8600;82.2800;83.1000;81.6400;82.7600;82.7600;82.7600;82.8600;82.2800;83.1000;81.6400;82.7600;82.7600;82.6192;;-0.0090996168582375;;-0.0091076923076923;;-0.0091412712569863;;-0.0091494208979572;34667031;2814483686.62;641982;51980365.07;1001430970;;0.97285445813322;;;
2019-09-30 00:00:00;6220;PGS;NO0010199151;PGS;1;Ordinary Shares;1;OSE;2342;10101020;12.3650;12.3800;12.2300;12.4850;11.9650;12.3800;12.3800;12.3650;12.3800;12.2300;12.4850;11.9650;12.3800;12.3800;12.2882;;0.13473877176902;;0.13473877176902;;0.12640246741147;;0.12640246741147;63268381;811853666.05;4026023;48925680.4;338579996;;1;;;
2019-09-30 00:00:00;6240;SCHA;NO0003028904;Schibsted ser. A;1;Ordinary Shares;1;OSE;2354;25401040;269.0000;269.3000;262.7000;269.7000;262.7000;269.1000;269.1000;269.0000;269.3000;262.7000;269.7000;262.7000;269.1000;269.1000;268.5092;;-0.030619596541787;;-0.030619596541787;;-0.03109817089979;;-0.03109817089979;3772856;1014198535.9;6580;1761268.1;108003615;;1;;;
2019-09-30 00:00:00;6269;ODF;NO0003399909;Odfjell ser. A;2;A Shares;1;OSE;2366;20303010;28.6000;29.4000;27.9000;29.0000;27.9000;28.6000;28.6000;28.6000;29.4000;27.9000;29.0000;27.9000;28.6000;28.6000;28.5378;;0.16260162601626;;0.16260162601626;;0.15066027488749;;0.15066027488749;245463;6823895.6;4252583;125353341.3;65690244;;1;;;
