Forward looking risk free rates, 1m (estimated from govmt securities and NIBOR)
date,Rf(1m)
20090228,0.00250
20090331,0.00240
20090430,0.00206
20090531,0.00171
20090630,0.00149
20090731,0.00133
20090831,0.00138
20090930,0.00132
20091031,0.00151
20091130,0.00150
20091231,0.00163
20100131,0.00171
20100228,0.00168
20100331,0.00169
20100430,0.00178
20100531,0.00198
20100630,0.00214
20100731,0.00209
20100831,0.00208
20100930,0.00201
20101031,0.00195
20101130,0.00197
20101231,0.00206
20110131,0.00191
20110228,0.00200
20110331,0.00194
20110430,0.00206
20110531,0.00230
20110630,0.00222
20110731,0.00225
20110831,0.00241
20110930,0.00228
20111031,0.00231
20111130,0.00251
20111231,0.00209
20120131,0.00188
20120229,0.00184
20120331,0.00159
20120430,0.00163
20120531,0.00161
20120630,0.00163
20120731,0.00157
20120831,0.00155
20120930,0.00153
20121031,0.00147
20121130,0.00157
20121231,0.00147
20130131,0.00153
20130228,0.00143
20130331,0.00153
20130430,0.00145
20130531,0.00138
20130630,0.00129
20130731,0.00137
20130831,0.00136
20130930,0.00134
20131031,0.00132
20131130,0.00137
20131231,0.00135
20140131,0.00135
20140228,0.00135
20140331,0.00137
20140430,0.00141
20140531,0.00143
20140630,0.00136
20140731,0.00130
20140831,0.00133
20140930,0.00132
20141031,0.00129
20141130,0.00129
20141231,0.00117
20150131,0.00120
20150228,0.00113
20150331,0.00127
20150430,0.00123
20150531,0.00117
20150630,0.00102
20150731,0.00097
20150831,0.00095
20150930,0.00083
20151031,0.00080
20151130,0.00108
20151231,0.00087
20160131,0.00085
20160229,0.00080
20160331,0.00070
20160430,0.00069
20160531,0.00068
20160630,0.00073
20160731,0.00068
20160831,0.00073
20160930,0.00082
20161031,0.00078
20161130,0.00107
20161231,0.00087
20170131,0.00059
20170228,0.00076
20170331,0.00068
20170430,0.00069
20170531,0.00072
20170630,0.00060
20170731,0.00056
20170831,0.00057
20170930,0.00056
20171031,0.00052
20171130,0.00056
20171231,0.00056
20180131,0.00063
20180228,0.00078
20180331,0.00079
20180430,0.00076
20180531,0.00068
20180630,0.00064
20180731,0.00065
20180831,0.00068
20180930,0.00082
20181031,0.00082
20181130,0.00095
20181231,0.00089
20190131,0.00084
20190228,0.00086
20190331,0.00104
20190430,0.00103
20190531,0.00105
20190630,0.00114
20190731,0.00114
20190831,0.00117
20190930,0.00130
20191031,0.00140
20191130,0.00143
20191231,0.00141
20200131,0.00137
20200229,0.00135
20200331,0.00052
20200430,0.00023
20200531,0.00008
20200630,0.00018
20200731,0.00014
20200831,0.00008
20200930,0.00020
20201031,0.00036
20201130,0.00023
20201231,0.00029
20210131,0.00026
20210228,0.00026
20210331,0.00020
20210430,0.00017
20210531,0.00015
20210630,0.00011
20210731,0.00012
20210831,0.00017
20210930,0.00037
20211031,0.00040
20211130,0.00057
20211231,0.00067
20220131,0.00073
20220228,0.00074
20220331,0.00087
20220430,0.00081
20220531,0.00083
20220630,0.00114
20220731,0.00135
20220831,0.00169
20220930,0.00225
20221031,0.00228
20221130,0.00270
20221231,0.00253
20230131,0.00257
20230228,0.00248
20230331,0.00282
20230430,0.00287
20230531,0.00300
20230630,0.00334
20230731,0.00350
