date,EW,VW,OSEAX,OBX
19930331,0.208833,0.100911,0.111008,
19930430,0.164335,0.079395,0.072634,
19930531,0.072126,0.005864,-0.005929,
19930630,0.085683,0.019154,0.027463,
19930731,0.139522,0.083803,0.090115,
19930831,0.133556,0.069688,0.074856,
19930930,-0.062246,-0.040006,-0.046166,
19931031,0.138251,0.127838,0.126939,
19931130,-0.031384,-0.063196,-0.061043,
19931231,0.036011,0.043773,0.063433,
19940131,0.128589,0.136705,0.117913,
19940228,0.001803,-0.004735,-0.000175,
19940331,-0.034316,-0.074691,-0.064400,
19940430,-0.023292,0.002088,-0.010903,
19940531,-0.002713,0.001971,0.005519,
19940630,-0.037541,-0.048077,-0.054013,
19940731,0.037148,0.081644,0.076825,
19940831,-0.003490,-0.002613,-0.007405,
19940930,-0.062482,-0.069942,-0.079321,
19941031,-0.002383,0.030541,0.019307,
19941130,0.049031,0.019826,0.031585,
19941231,0.028900,0.039536,0.052279,
19950131,0.007031,-0.006049,-0.005923,
19950228,0.000362,-0.030962,-0.024644,
19950331,-0.021335,-0.042914,-0.046796,
19950430,0.060198,0.088864,0.086853,
19950531,0.050323,0.027772,0.026405,
19950630,0.047230,0.033233,0.035059,
19950731,0.025074,0.023574,0.022814,
19950831,0.046962,0.016188,0.005677,
19950930,0.023991,0.010216,0.021957,
19951031,-0.040216,-0.046786,-0.042876,
19951130,0.029540,0.028970,0.021711,
19951231,0.028127,0.020575,0.017308,
19960131,0.042798,0.021353,0.019182,
19960229,0.101233,0.028304,0.022556,
19960331,0.033114,-0.000136,0.004647,
19960430,0.051553,0.074803,0.083344,
19960531,0.013496,0.013002,0.004992,
19960630,-0.004483,-0.009083,-0.003303,
19960731,-0.004910,-0.037047,-0.029852,
19960831,0.024823,0.026952,0.018195,
19960930,0.009252,0.016205,0.020958,
19961031,0.061789,0.031396,0.033375,
19961130,0.082676,0.072530,0.071104,
19961231,0.033786,0.036578,0.041717,
19970131,0.138716,0.098198,0.102048,
19970228,0.002838,-0.012192,-0.002717,
19970331,0.012656,0.004593,0.011538,
19970430,-0.026861,0.017621,0.014946,
19970531,0.053548,0.054021,0.060019,
19970630,0.011230,0.038346,0.031090,
19970731,0.110782,0.090926,0.079062,
19970831,-0.010318,0.008007,-0.009715,
19970930,0.043780,0.041271,0.046491,
19971031,-0.002515,-0.000479,-0.013239,
19971130,-0.034129,-0.044868,-0.047708,
19971231,-0.017414,0.000997,0.014885,
19980131,-0.021106,-0.026400,-0.030920,
19980228,0.006131,0.015945,0.015086,
19980331,0.059233,0.097604,0.087473,
19980430,0.035825,0.028612,0.026218,
19980531,-0.040525,-0.050043,-0.060994,
19980630,-0.059464,-0.030425,-0.011425,
19980731,-0.019241,-0.030022,-0.018600,
19980831,-0.199906,-0.225409,-0.225721,
19980930,-0.069469,-0.074270,-0.095039,
19981031,0.003449,0.105251,0.124885,
19981130,-0.041428,-0.061785,-0.051068,
19981231,-0.080057,-0.022690,-0.019450,
19990131,0.153145,0.089868,0.094695,
19990228,-0.023039,-0.044757,-0.044542,
19990331,0.088769,0.097654,0.068736,
19990430,0.116829,0.069830,0.087184,
19990531,0.024157,-0.011127,0.009989,
19990630,0.029176,0.001202,0.007963,
19990731,0.028225,0.029941,0.024547,
19990831,0.011159,0.029433,0.024390,
19990930,-0.014331,-0.018082,-0.015992,
19991031,-0.032697,-0.005879,-0.022695,
19991130,0.084851,0.058175,0.069732,
19991231,0.153520,0.095540,0.119241,
20000131,0.058885,-0.002244,-0.014809,
20000229,0.104967,0.021584,0.037411,0.046797
20000331,0.041922,-0.005504,-0.016814,0.014171
20000430,-0.033201,-0.039974,-0.033324,-0.012353
20000531,0.033065,0.053997,0.039081,0.045246
20000630,0.009080,0.022832,0.028413,0.051985
20000731,0.033369,0.033424,0.036519,0.038165
20000831,0.101698,0.099724,0.102768,0.108310
20000930,-0.045100,-0.022497,-0.035628,-0.023878
20001031,-0.034119,-0.020991,-0.010383,0.001605
20001130,-0.092444,-0.089753,-0.082032,-0.092662
20001231,-0.069364,-0.006173,-0.015523,0.006090
20010131,0.110464,0.032083,0.042497,0.013982
20010228,-0.017629,-0.000539,-0.004765,-0.000895
20010331,-0.080782,-0.076669,-0.075049,-0.081855
20010430,0.043326,0.063168,0.066397,0.063513
20010531,0.008015,0.023402,0.014141,0.027657
20010630,-0.086243,-0.052019,-0.051873,-0.047871
20010731,-0.013902,-0.023610,-0.028426,-0.024576
20010831,-0.089460,-0.051616,-0.060830,-0.046865
20010930,-0.162352,-0.142647,-0.134171,-0.172664
20011031,0.060213,0.029459,0.028409,0.018943
20011130,0.110491,0.050387,0.037417,0.067342
20011231,-0.003577,0.047551,0.047656,0.047096
20020131,0.032192,-0.018397,-0.022434,-0.022632
20020228,-0.024731,0.022435,0.022058,0.011468
20020331,0.077232,0.080748,0.079550,0.081173
20020430,-0.040666,-0.038244,-0.032955,-0.051032
20020531,-0.067672,-0.037973,-0.026393,-0.023369
20020630,-0.103462,-0.091761,-0.089157,-0.091892
