﻿﻿TradeDate;Last;
2015-01-30 00:00:00;.5000;
2015-01-30 00:00:00;3.8400;
2015-01-30 00:00:00;133.3500;
2015-01-30 00:00:00;43.3000;
2015-01-30 00:00:00;2.0000;
2015-01-30 00:00:00;12.2500;
2015-01-30 00:00:00;1.7000;
2015-01-30 00:00:00;22.0000;
2015-01-30 00:00:00;18.5600;
2015-01-30 00:00:00;3.0700;
2015-01-30 00:00:00;130.5000;
2015-01-30 00:00:00;13.2500;
2015-01-30 00:00:00;1.0900;
2015-01-30 00:00:00;58.7500;
2015-01-30 00:00:00;.6800;
2015-01-30 00:00:00;82.0000;
2015-01-30 00:00:00;76.5000;
2015-01-30 00:00:00;9.0400;
2015-01-30 00:00:00;10.0500;
2015-01-30 00:00:00;2.6000;
2015-01-30 00:00:00;48.5000;
2015-01-30 00:00:00;20.9000;
2015-01-30 00:00:00;54.5000;
2015-01-30 00:00:00;55.0000;
2015-01-30 00:00:00;1.3000;
2015-01-30 00:00:00;47.0000;
2015-01-30 00:00:00;8.9800;
2015-01-30 00:00:00;3.9000;
2015-01-30 00:00:00;102.0000;
2015-01-30 00:00:00;47.9900;
2015-01-30 00:00:00;26.2000;
2015-01-30 00:00:00;25.0000;
2015-01-30 00:00:00;48.0000;
2015-01-30 00:00:00;80.0000;
2015-01-30 00:00:00;26.4000;
2015-01-30 00:00:00;99.2500;
2015-01-30 00:00:00;.5500;
2015-01-30 00:00:00;29.9000;
2015-01-30 00:00:00;47.0000;
2015-01-30 00:00:00;8.6300;
2015-01-30 00:00:00;6.5900;
2015-01-30 00:00:00;44.0000;
2015-01-30 00:00:00;37.8400;
2015-01-30 00:00:00;30.0000;
2015-01-30 00:00:00;74.2500;
2015-01-30 00:00:00;83.2500;
2015-01-30 00:00:00;16.1000;
2015-01-30 00:00:00;50.0000;
2015-01-30 00:00:00;.8000;
2015-01-30 00:00:00;36.9700;
2015-01-30 00:00:00;26.5100;
2015-01-30 00:00:00;3.2500;
2015-01-30 00:00:00;57.1000;
2015-01-30 00:00:00;2.4700;
2015-01-30 00:00:00;11.1000;
2015-01-30 00:00:00;81.7000;
2015-01-30 00:00:00;5.0900;
2015-01-30 00:00:00;26.6500;
2015-01-30 00:00:00;16.3000;
2015-01-30 00:00:00;34.3300;
2015-01-30 00:00:00;.0500;
2015-01-30 00:00:00;.5300;
2015-01-30 00:00:00;.1600;
2015-01-30 00:00:00;.2500;
2015-01-30 00:00:00;.4300;
2015-01-30 00:00:00;11.0000;
2015-01-30 00:00:00;.9100;
2015-01-30 00:00:00;.0300;
2015-01-30 00:00:00;6.3900;
2015-01-30 00:00:00;.7800;
2015-01-30 00:00:00;.4700;
2015-01-30 00:00:00;.0500;
2015-01-30 00:00:00;.0800;
2015-01-30 00:00:00;.2500;
2015-01-30 00:00:00;.0400;
2015-01-30 00:00:00;.0700;
2015-01-30 00:00:00;1.3300;
2015-01-30 00:00:00;.3300;
2015-01-30 00:00:00;.2800;
